"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2020 00:00 - 01/01/2020 00:15","BZN|NL","11185.59","9573.25"
"01/01/2020 00:15 - 01/01/2020 00:30","BZN|NL","11207.35","9593.16"
"01/01/2020 00:30 - 01/01/2020 00:45","BZN|NL","11237.45","9583.39"
"01/01/2020 00:45 - 01/01/2020 01:00","BZN|NL","11228.79","9500.96"
"01/01/2020 01:00 - 01/01/2020 01:15","BZN|NL","11221.73","9409.19"
"01/01/2020 01:15 - 01/01/2020 01:30","BZN|NL","11243.26","9358.55"
"01/01/2020 01:30 - 01/01/2020 01:45","BZN|NL","11182.83","9298.75"
"01/01/2020 01:45 - 01/01/2020 02:00","BZN|NL","11089.10","9202.63"
"01/01/2020 02:00 - 01/01/2020 02:15","BZN|NL","11060.77","9130.69"
"01/01/2020 02:15 - 01/01/2020 02:30","BZN|NL","11035.23","9098.10"
"01/01/2020 02:30 - 01/01/2020 02:45","BZN|NL","10972.64","9064.53"
"01/01/2020 02:45 - 01/01/2020 03:00","BZN|NL","10867.58","9038.48"
"01/01/2020 03:00 - 01/01/2020 03:15","BZN|NL","10811.94","9008.48"
"01/01/2020 03:15 - 01/01/2020 03:30","BZN|NL","10729.80","9001.47"
"01/01/2020 03:30 - 01/01/2020 03:45","BZN|NL","10636.96","8990.91"
"01/01/2020 03:45 - 01/01/2020 04:00","BZN|NL","10565.47","8985.33"
"01/01/2020 04:00 - 01/01/2020 04:15","BZN|NL","10537.25","9009.76"
"01/01/2020 04:15 - 01/01/2020 04:30","BZN|NL","10496.96","9048.20"
"01/01/2020 04:30 - 01/01/2020 04:45","BZN|NL","10470.45","9086.94"
"01/01/2020 04:45 - 01/01/2020 05:00","BZN|NL","10452.63","9146.81"
"01/01/2020 05:00 - 01/01/2020 05:15","BZN|NL","10536.49","9229.56"
"01/01/2020 05:15 - 01/01/2020 05:30","BZN|NL","10551.67","9345.36"
"01/01/2020 05:30 - 01/01/2020 05:45","BZN|NL","10602.22","9472.84"
"01/01/2020 05:45 - 01/01/2020 06:00","BZN|NL","10629.27","9639.80"
"01/01/2020 06:00 - 01/01/2020 06:15","BZN|NL","10698.43","9855.68"
"01/01/2020 06:15 - 01/01/2020 06:30","BZN|NL","10746.60","10155.91"
"01/01/2020 06:30 - 01/01/2020 06:45","BZN|NL","10817.05","10434.06"
"01/01/2020 06:45 - 01/01/2020 07:00","BZN|NL","10863.43","10720.83"
"01/01/2020 07:00 - 01/01/2020 07:15","BZN|NL","10980.75","11043.27"
"01/01/2020 07:15 - 01/01/2020 07:30","BZN|NL","11052.74","11468.40"
"01/01/2020 07:30 - 01/01/2020 07:45","BZN|NL","11126.43","11872.90"
