"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2020 07:45 - 01/01/2020 08:00","BZN|NL","11205.26","12216.85"
"01/01/2020 08:00 - 01/01/2020 08:15","BZN|NL","11309.78","12498.02"
"01/01/2020 08:15 - 01/01/2020 08:30","BZN|NL","11396.67","12751.85"
"01/01/2020 08:30 - 01/01/2020 08:45","BZN|NL","11427.33","12857.89"
"01/01/2020 08:45 - 01/01/2020 09:00","BZN|NL","11438.99","12850.42"
"01/01/2020 09:00 - 01/01/2020 09:15","BZN|NL","11534.73","12901.72"
"01/01/2020 09:15 - 01/01/2020 09:30","BZN|NL","11656.84","13030.47"
"01/01/2020 09:30 - 01/01/2020 09:45","BZN|NL","11764.69","13100.91"
"01/01/2020 09:45 - 01/01/2020 10:00","BZN|NL","11885.50","13147.94"
"01/01/2020 10:00 - 01/01/2020 10:15","BZN|NL","12023.35","13184.65"
"01/01/2020 10:15 - 01/01/2020 10:30","BZN|NL","12139.56","13154.43"
"01/01/2020 10:30 - 01/01/2020 10:45","BZN|NL","12216.75","13089.79"
"01/01/2020 10:45 - 01/01/2020 11:00","BZN|NL","12314.57","12998.18"
"01/01/2020 11:00 - 01/01/2020 11:15","BZN|NL","12397.65","12930.97"
"01/01/2020 11:15 - 01/01/2020 11:30","BZN|NL","12452.37","12884.22"
"01/01/2020 11:30 - 01/01/2020 11:45","BZN|NL","12491.35","12818.67"
"01/01/2020 11:45 - 01/01/2020 12:00","BZN|NL","12523.71","12796.04"
"01/01/2020 12:00 - 01/01/2020 12:15","BZN|NL","12575.81","12803.06"
"01/01/2020 12:15 - 01/01/2020 12:30","BZN|NL","12604.61","12771.61"
"01/01/2020 12:30 - 01/01/2020 12:45","BZN|NL","12618.09","12741.14"
"01/01/2020 12:45 - 01/01/2020 13:00","BZN|NL","12643.56","12735.56"
"01/01/2020 13:00 - 01/01/2020 13:15","BZN|NL","12657.27","12750.70"
"01/01/2020 13:15 - 01/01/2020 13:30","BZN|NL","12682.22","12720.94"
"01/01/2020 13:30 - 01/01/2020 13:45","BZN|NL","12664.38","12702.05"
"01/01/2020 13:45 - 01/01/2020 14:00","BZN|NL","12713.27","12868.37"
"01/01/2020 14:00 - 01/01/2020 14:15","BZN|NL","12738.83","12932.05"
"01/01/2020 14:15 - 01/01/2020 14:30","BZN|NL","12794.12","12983.12"
"01/01/2020 14:30 - 01/01/2020 14:45","BZN|NL","12793.15","13019.56"
"01/01/2020 14:45 - 01/01/2020 15:00","BZN|NL","12851.50","13061.88"
"01/01/2020 15:00 - 01/01/2020 15:15","BZN|NL","12898.63","13113.55"
"01/01/2020 15:15 - 01/01/2020 15:30","BZN|NL","12930.31","13129.64"
"01/01/2020 15:30 - 01/01/2020 15:45","BZN|NL","13002.50","13183.16"
"01/01/2020 15:45 - 01/01/2020 16:00","BZN|NL","13048.79","13265.53"
"01/01/2020 16:00 - 01/01/2020 16:15","BZN|NL","13082.29","13275.80"
"01/01/2020 16:15 - 01/01/2020 16:30","BZN|NL","13236.72","13246.88"
"01/01/2020 16:30 - 01/01/2020 16:45","BZN|NL","13387.33","13378.03"
"01/01/2020 16:45 - 01/01/2020 17:00","BZN|NL","13719.08","13630.04"
"01/01/2020 17:00 - 01/01/2020 17:15","BZN|NL","13925.22","13816.22"
"01/01/2020 17:15 - 01/01/2020 17:30","BZN|NL","14203.22","13786.36"
"01/01/2020 17:30 - 01/01/2020 17:45","BZN|NL","14346.66","13839.40"
"01/01/2020 17:45 - 01/01/2020 18:00","BZN|NL","14381.15","13811.67"
"01/01/2020 18:00 - 01/01/2020 18:15","BZN|NL","13832.52","13555.70"
"01/01/2020 18:15 - 01/01/2020 18:30","BZN|NL","13740.04","13109.03"
"01/01/2020 18:30 - 01/01/2020 18:45","BZN|NL","13730.51","12956.26"
"01/01/2020 18:45 - 01/01/2020 19:00","BZN|NL","13675.13","12873.73"
"01/01/2020 19:00 - 01/01/2020 19:15","BZN|NL","13649.65","12783.79"
"01/01/2020 19:15 - 01/01/2020 19:30","BZN|NL","13668.72","12657.07"
"01/01/2020 19:30 - 01/01/2020 19:45","BZN|NL","13583.79","12546.81"
"01/01/2020 19:45 - 01/01/2020 20:00","BZN|NL","13544.19","12432.95"
"01/01/2020 20:00 - 01/01/2020 20:15","BZN|NL","13452.06","12322.95"
"01/01/2020 20:15 - 01/01/2020 20:30","BZN|NL","13371.21","12184.64"
"01/01/2020 20:30 - 01/01/2020 20:45","BZN|NL","13198.67","12042.33"
"01/01/2020 20:45 - 01/01/2020 21:00","BZN|NL","13033.87","11883.18"
"01/01/2020 21:00 - 01/01/2020 21:15","BZN|NL","12911.97","11745.39"
"01/01/2020 21:15 - 01/01/2020 21:30","BZN|NL","12769.84","11605.23"
"01/01/2020 21:30 - 01/01/2020 21:45","BZN|NL","12631.89","11461.18"
"01/01/2020 21:45 - 01/01/2020 22:00","BZN|NL","12577.73","11309.89"
"01/01/2020 22:00 - 01/01/2020 22:15","BZN|NL","12388.43","11162.82"
"01/01/2020 22:15 - 01/01/2020 22:30","BZN|NL","12237.28","11017.53"
"01/01/2020 22:30 - 01/01/2020 22:45","BZN|NL","12071.26","10843.47"
"01/01/2020 22:45 - 01/01/2020 23:00","BZN|NL","11848.31","10635.45"
"01/01/2020 23:00 - 01/01/2020 23:15","BZN|NL","11704.50","10484.49"
"01/01/2020 23:15 - 01/01/2020 23:30","BZN|NL","11597.95","10406.81"
"01/01/2020 23:30 - 01/01/2020 23:45","BZN|NL","11370.12","10243.87"
"01/01/2020 23:45 - 02/01/2020 00:00","BZN|NL","11229.69","10034.21"
"02/01/2020 00:00 - 02/01/2020 00:15","BZN|NL","11139.23","9907.21"
"02/01/2020 00:15 - 02/01/2020 00:30","BZN|NL","11112.02","9904.83"
"02/01/2020 00:30 - 02/01/2020 00:45","BZN|NL","11036.78","9872.49"
"02/01/2020 00:45 - 02/01/2020 01:00","BZN|NL","10951.92","9768.07"
"02/01/2020 01:00 - 02/01/2020 01:15","BZN|NL","10898.40","9666.64"
"02/01/2020 01:15 - 02/01/2020 01:30","BZN|NL","10855.14","9596.74"
"02/01/2020 01:30 - 02/01/2020 01:45","BZN|NL","10770.70","9517.65"
"02/01/2020 01:45 - 02/01/2020 02:00","BZN|NL","10691.05","9428.43"
"02/01/2020 02:00 - 02/01/2020 02:15","BZN|NL","10643.93","9347.31"
"02/01/2020 02:15 - 02/01/2020 02:30","BZN|NL","10590.40","9319.67"
"02/01/2020 02:30 - 02/01/2020 02:45","BZN|NL","10587.31","9299.21"
"02/01/2020 02:45 - 02/01/2020 03:00","BZN|NL","10567.39","9283.69"
"02/01/2020 03:00 - 02/01/2020 03:15","BZN|NL","10570.86","9256.92"
"02/01/2020 03:15 - 02/01/2020 03:30","BZN|NL","10536.54","9237.28"
"02/01/2020 03:30 - 02/01/2020 03:45","BZN|NL","10497.93","9234.75"
"02/01/2020 03:45 - 02/01/2020 04:00","BZN|NL","10500.48","9214.49"
"02/01/2020 04:00 - 02/01/2020 04:15","BZN|NL","10574.00","9193.63"
"02/01/2020 04:15 - 02/01/2020 04:30","BZN|NL","10622.43","9202.66"
"02/01/2020 04:30 - 02/01/2020 04:45","BZN|NL","10686.77","9208.99"
"02/01/2020 04:45 - 02/01/2020 05:00","BZN|NL","10730.18","9220.92"
"02/01/2020 05:00 - 02/01/2020 05:15","BZN|NL","10894.67","9291.55"
"02/01/2020 05:15 - 02/01/2020 05:30","BZN|NL","10981.49","9396.08"
"02/01/2020 05:30 - 02/01/2020 05:45","BZN|NL","11188.19","9533.49"
"02/01/2020 05:45 - 02/01/2020 06:00","BZN|NL","11383.66","9682.45"
"02/01/2020 06:00 - 02/01/2020 06:15","BZN|NL","11684.74","9858.40"
"02/01/2020 06:15 - 02/01/2020 06:30","BZN|NL","12000.36","10120.83"
"02/01/2020 06:30 - 02/01/2020 06:45","BZN|NL","12209.61","10420.27"
"02/01/2020 06:45 - 02/01/2020 07:00","BZN|NL","12405.51","10685.14"
"02/01/2020 07:00 - 02/01/2020 07:15","BZN|NL","12829.74","10986.77"
"02/01/2020 07:15 - 02/01/2020 07:30","BZN|NL","13282.59","11399.43"
"02/01/2020 07:30 - 02/01/2020 07:45","BZN|NL","13658.79","11766.83"
"02/01/2020 07:45 - 02/01/2020 08:00","BZN|NL","14024.14","12085.39"
"02/01/2020 08:00 - 02/01/2020 08:15","BZN|NL","14384.00","12363.31"
"02/01/2020 08:15 - 02/01/2020 08:30","BZN|NL","14680.41","12586.71"
"02/01/2020 08:30 - 02/01/2020 08:45","BZN|NL","14929.11","12695.01"
"02/01/2020 08:45 - 02/01/2020 09:00","BZN|NL","15107.57","12745.41"
"02/01/2020 09:00 - 02/01/2020 09:15","BZN|NL","15343.23","12816.70"
"02/01/2020 09:15 - 02/01/2020 09:30","BZN|NL","15568.71","12868.01"
"02/01/2020 09:30 - 02/01/2020 09:45","BZN|NL","15696.37","12883.08"
"02/01/2020 09:45 - 02/01/2020 10:00","BZN|NL","15830.11","12848.15"
"02/01/2020 10:00 - 02/01/2020 10:15","BZN|NL","15855.39","12799.05"
"02/01/2020 10:15 - 02/01/2020 10:30","BZN|NL","15833.99","12747.11"
"02/01/2020 10:30 - 02/01/2020 10:45","BZN|NL","15957.23","12681.19"
"02/01/2020 10:45 - 02/01/2020 11:00","BZN|NL","16042.41","12614.43"
"02/01/2020 11:00 - 02/01/2020 11:15","BZN|NL","16046.25","12526.25"
"02/01/2020 11:15 - 02/01/2020 11:30","BZN|NL","15950.08","12464.24"
"02/01/2020 11:30 - 02/01/2020 11:45","BZN|NL","16041.54","12410.09"
"02/01/2020 11:45 - 02/01/2020 12:00","BZN|NL","16102.68","12338.39"
"02/01/2020 12:00 - 02/01/2020 12:15","BZN|NL","16067.18","12278.50"
"02/01/2020 12:15 - 02/01/2020 12:30","BZN|NL","16019.44","12266.81"
"02/01/2020 12:30 - 02/01/2020 12:45","BZN|NL","16012.61","12191.27"
"02/01/2020 12:45 - 02/01/2020 13:00","BZN|NL","16027.05","12156.72"
"02/01/2020 13:00 - 02/01/2020 13:15","BZN|NL","16091.36","12183.65"
"02/01/2020 13:15 - 02/01/2020 13:30","BZN|NL","16119.74","12266.31"
"02/01/2020 13:30 - 02/01/2020 13:45","BZN|NL","16101.76","12334.12"
"02/01/2020 13:45 - 02/01/2020 14:00","BZN|NL","16106.11","12400.57"
"02/01/2020 14:00 - 02/01/2020 14:15","BZN|NL","16083.24","12454.13"
"02/01/2020 14:15 - 02/01/2020 14:30","BZN|NL","16057.49","12489.91"
"02/01/2020 14:30 - 02/01/2020 14:45","BZN|NL","16082.53","12553.90"
"02/01/2020 14:45 - 02/01/2020 15:00","BZN|NL","16064.10","12609.10"
"02/01/2020 15:00 - 02/01/2020 15:15","BZN|NL","16016.23","12667.01"
"02/01/2020 15:15 - 02/01/2020 15:30","BZN|NL","16010.49","12756.02"
"02/01/2020 15:30 - 02/01/2020 15:45","BZN|NL","16040.41","12837.93"
"02/01/2020 15:45 - 02/01/2020 16:00","BZN|NL","16090.78","12924.98"
"02/01/2020 16:00 - 02/01/2020 16:15","BZN|NL","16047.93","12966.28"
"02/01/2020 16:15 - 02/01/2020 16:30","BZN|NL","16126.01","13007.01"
"02/01/2020 16:30 - 02/01/2020 16:45","BZN|NL","16301.61","13133.37"
"02/01/2020 16:45 - 02/01/2020 17:00","BZN|NL","16651.73","13326.67"
"02/01/2020 17:00 - 02/01/2020 17:15","BZN|NL","16712.73","13457.47"
"02/01/2020 17:15 - 02/01/2020 17:30","BZN|NL","16877.56","13368.61"
"02/01/2020 17:30 - 02/01/2020 17:45","BZN|NL","16933.79","13373.54"
"02/01/2020 17:45 - 02/01/2020 18:00","BZN|NL","16833.04","13324.21"
"02/01/2020 18:00 - 02/01/2020 18:15","BZN|NL","16333.69","13082.95"
"02/01/2020 18:15 - 02/01/2020 18:30","BZN|NL","16113.03","12644.08"
"02/01/2020 18:30 - 02/01/2020 18:45","BZN|NL","15945.01","12492.21"
"02/01/2020 18:45 - 02/01/2020 19:00","BZN|NL","15834.49","12397.35"
"02/01/2020 19:00 - 02/01/2020 19:15","BZN|NL","15663.51","12287.28"
"02/01/2020 19:15 - 02/01/2020 19:30","BZN|NL","15462.30","12172.65"
"02/01/2020 19:30 - 02/01/2020 19:45","BZN|NL","15310.84","12042.31"
"02/01/2020 19:45 - 02/01/2020 20:00","BZN|NL","15257.64","11948.25"
"02/01/2020 20:00 - 02/01/2020 20:15","BZN|NL","15016.01","11880.26"
"02/01/2020 20:15 - 02/01/2020 20:30","BZN|NL","14851.70","11773.65"
"02/01/2020 20:30 - 02/01/2020 20:45","BZN|NL","14670.84","11613.58"
"02/01/2020 20:45 - 02/01/2020 21:00","BZN|NL","14447.77","11414.94"
"02/01/2020 21:00 - 02/01/2020 21:15","BZN|NL","14180.81","11361.57"
"02/01/2020 21:15 - 02/01/2020 21:30","BZN|NL","13999.30","11200.40"
"02/01/2020 21:30 - 02/01/2020 21:45","BZN|NL","13784.38","11023.19"
"02/01/2020 21:45 - 02/01/2020 22:00","BZN|NL","13620.70","10844.24"
"02/01/2020 22:00 - 02/01/2020 22:15","BZN|NL","13330.81","10678.36"
"02/01/2020 22:15 - 02/01/2020 22:30","BZN|NL","13088.63","10504.43"
"02/01/2020 22:30 - 02/01/2020 22:45","BZN|NL","12880.24","10336.67"
"02/01/2020 22:45 - 02/01/2020 23:00","BZN|NL","12658.46","10147.71"
"02/01/2020 23:00 - 02/01/2020 23:15","BZN|NL","12527.23","10019.66"
"02/01/2020 23:15 - 02/01/2020 23:30","BZN|NL","12319.68","9969.33"
"02/01/2020 23:30 - 02/01/2020 23:45","BZN|NL","12124.14","9859.22"
"02/01/2020 23:45 - 03/01/2020 00:00","BZN|NL","11931.31","9683.16"
"03/01/2020 00:00 - 03/01/2020 00:15","BZN|NL","11777.94","9556.20"
"03/01/2020 00:15 - 03/01/2020 00:30","BZN|NL","11657.90","9550.80"
"03/01/2020 00:30 - 03/01/2020 00:45","BZN|NL","11545.79","9528.84"
"03/01/2020 00:45 - 03/01/2020 01:00","BZN|NL","11430.15","9445.54"
"03/01/2020 01:00 - 03/01/2020 01:15","BZN|NL","11356.66","9359.84"
"03/01/2020 01:15 - 03/01/2020 01:30","BZN|NL","11312.83","9303.18"
"03/01/2020 01:30 - 03/01/2020 01:45","BZN|NL","11198.38","9234.59"
"03/01/2020 01:45 - 03/01/2020 02:00","BZN|NL","11121.00","9163.80"
"03/01/2020 02:00 - 03/01/2020 02:15","BZN|NL","11064.48","9091.88"
"03/01/2020 02:15 - 03/01/2020 02:30","BZN|NL","10997.60","9049.15"
"03/01/2020 02:30 - 03/01/2020 02:45","BZN|NL","10944.68","9016.98"
"03/01/2020 02:45 - 03/01/2020 03:00","BZN|NL","10899.94","8991.75"
"03/01/2020 03:00 - 03/01/2020 03:15","BZN|NL","10881.73","8982.37"
"03/01/2020 03:15 - 03/01/2020 03:30","BZN|NL","10845.61","8981.38"
"03/01/2020 03:30 - 03/01/2020 03:45","BZN|NL","10823.76","8987.30"
"03/01/2020 03:45 - 03/01/2020 04:00","BZN|NL","10825.34","8984.04"
"03/01/2020 04:00 - 03/01/2020 04:15","BZN|NL","10831.53","8999.76"
"03/01/2020 04:15 - 03/01/2020 04:30","BZN|NL","10889.66","9051.28"
"03/01/2020 04:30 - 03/01/2020 04:45","BZN|NL","10930.25","9085.23"
"03/01/2020 04:45 - 03/01/2020 05:00","BZN|NL","10929.37","9137.12"
"03/01/2020 05:00 - 03/01/2020 05:15","BZN|NL","11067.82","9235.20"
"03/01/2020 05:15 - 03/01/2020 05:30","BZN|NL","11210.63","9352.70"
"03/01/2020 05:30 - 03/01/2020 05:45","BZN|NL","11400.13","9508.59"
"03/01/2020 05:45 - 03/01/2020 06:00","BZN|NL","11552.41","9701.16"
"03/01/2020 06:00 - 03/01/2020 06:15","BZN|NL","11858.85","9939.42"
"03/01/2020 06:15 - 03/01/2020 06:30","BZN|NL","12094.57","10243.11"
"03/01/2020 06:30 - 03/01/2020 06:45","BZN|NL","12362.03","10530.96"
"03/01/2020 06:45 - 03/01/2020 07:00","BZN|NL","12617.78","10811.98"
"03/01/2020 07:00 - 03/01/2020 07:15","BZN|NL","13004.04","11122.80"
"03/01/2020 07:15 - 03/01/2020 07:30","BZN|NL","13365.90","11515.85"
"03/01/2020 07:30 - 03/01/2020 07:45","BZN|NL","13664.08","11929.40"
"03/01/2020 07:45 - 03/01/2020 08:00","BZN|NL","14019.60","12307.69"
"03/01/2020 08:00 - 03/01/2020 08:15","BZN|NL","14353.75","12629.10"
"03/01/2020 08:15 - 03/01/2020 08:30","BZN|NL","14686.25","12921.33"
"03/01/2020 08:30 - 03/01/2020 08:45","BZN|NL","14883.15","13160.54"
"03/01/2020 08:45 - 03/01/2020 09:00","BZN|NL","15048.19","13302.70"
"03/01/2020 09:00 - 03/01/2020 09:15","BZN|NL","15183.01","13429.48"
"03/01/2020 09:15 - 03/01/2020 09:30","BZN|NL","15373.17","13541.24"
"03/01/2020 09:30 - 03/01/2020 09:45","BZN|NL","15528.49","13603.58"
"03/01/2020 09:45 - 03/01/2020 10:00","BZN|NL","15588.85","13606.53"
"03/01/2020 10:00 - 03/01/2020 10:15","BZN|NL","15688.88","13595.86"
"03/01/2020 10:15 - 03/01/2020 10:30","BZN|NL","15702.37","13567.37"
"03/01/2020 10:30 - 03/01/2020 10:45","BZN|NL","15770.77","13522.33"
"03/01/2020 10:45 - 03/01/2020 11:00","BZN|NL","15839.69","13480.11"
"03/01/2020 11:00 - 03/01/2020 11:15","BZN|NL","15862.79","13447.92"
"03/01/2020 11:15 - 03/01/2020 11:30","BZN|NL","15883.24","13436.08"
"03/01/2020 11:30 - 03/01/2020 11:45","BZN|NL","15893.18","13418.37"
"03/01/2020 11:45 - 03/01/2020 12:00","BZN|NL","15889.32","13304.64"
"03/01/2020 12:00 - 03/01/2020 12:15","BZN|NL","15914.53","13102.55"
"03/01/2020 12:15 - 03/01/2020 12:30","BZN|NL","15870.79","13028.01"
"03/01/2020 12:30 - 03/01/2020 12:45","BZN|NL","15843.65","13107.47"
"03/01/2020 12:45 - 03/01/2020 13:00","BZN|NL","15842.30","13175.84"
"03/01/2020 13:00 - 03/01/2020 13:15","BZN|NL","15862.21","13148.54"
"03/01/2020 13:15 - 03/01/2020 13:30","BZN|NL","15924.73","13123.90"
"03/01/2020 13:30 - 03/01/2020 13:45","BZN|NL","15954.80","13157.27"
"03/01/2020 13:45 - 03/01/2020 14:00","BZN|NL","15915.45","13115.31"
"03/01/2020 14:00 - 03/01/2020 14:15","BZN|NL","15849.80","13175.73"
"03/01/2020 14:15 - 03/01/2020 14:30","BZN|NL","15861.57","13148.16"
"03/01/2020 14:30 - 03/01/2020 14:45","BZN|NL","15882.56","13166.07"
"03/01/2020 14:45 - 03/01/2020 15:00","BZN|NL","15782.91","13189.76"
"03/01/2020 15:00 - 03/01/2020 15:15","BZN|NL","15678.39","13188.91"
"03/01/2020 15:15 - 03/01/2020 15:30","BZN|NL","15643.99","13213.47"
"03/01/2020 15:30 - 03/01/2020 15:45","BZN|NL","15702.00","13349.70"
"03/01/2020 15:45 - 03/01/2020 16:00","BZN|NL","15712.36","13448.99"
"03/01/2020 16:00 - 03/01/2020 16:15","BZN|NL","15739.71","13482.05"
"03/01/2020 16:15 - 03/01/2020 16:30","BZN|NL","15834.51","13470.64"
"03/01/2020 16:30 - 03/01/2020 16:45","BZN|NL","16026.09","13644.14"
"03/01/2020 16:45 - 03/01/2020 17:00","BZN|NL","16322.13","13861.67"
"03/01/2020 17:00 - 03/01/2020 17:15","BZN|NL","16498.31","14011.21"
"03/01/2020 17:15 - 03/01/2020 17:30","BZN|NL","16683.56","13948.25"
"03/01/2020 17:30 - 03/01/2020 17:45","BZN|NL","16685.55","13981.67"
"03/01/2020 17:45 - 03/01/2020 18:00","BZN|NL","16606.18","13795.54"
"03/01/2020 18:00 - 03/01/2020 18:15","BZN|NL","16162.38","13540.16"
"03/01/2020 18:15 - 03/01/2020 18:30","BZN|NL","15915.97","13506.11"
"03/01/2020 18:30 - 03/01/2020 18:45","BZN|NL","15760.76","13042.44"
"03/01/2020 18:45 - 03/01/2020 19:00","BZN|NL","15638.11","12918.48"
"03/01/2020 19:00 - 03/01/2020 19:15","BZN|NL","15409.25","12774.98"
"03/01/2020 19:15 - 03/01/2020 19:30","BZN|NL","15264.55","12623.92"
"03/01/2020 19:30 - 03/01/2020 19:45","BZN|NL","15045.57","12566.76"
"03/01/2020 19:45 - 03/01/2020 20:00","BZN|NL","15006.21","12427.73"
"03/01/2020 20:00 - 03/01/2020 20:15","BZN|NL","14781.45","12310.62"
"03/01/2020 20:15 - 03/01/2020 20:30","BZN|NL","14603.75","12181.80"
"03/01/2020 20:30 - 03/01/2020 20:45","BZN|NL","14410.94","12001.73"
"03/01/2020 20:45 - 03/01/2020 21:00","BZN|NL","14240.52","11829.58"
"03/01/2020 21:00 - 03/01/2020 21:15","BZN|NL","13975.84","11659.44"
"03/01/2020 21:15 - 03/01/2020 21:30","BZN|NL","13764.66","11476.52"
"03/01/2020 21:30 - 03/01/2020 21:45","BZN|NL","13569.20","11285.77"
"03/01/2020 21:45 - 03/01/2020 22:00","BZN|NL","13418.90","11100.92"
"03/01/2020 22:00 - 03/01/2020 22:15","BZN|NL","13192.30","10929.06"
"03/01/2020 22:15 - 03/01/2020 22:30","BZN|NL","13014.81","10753.20"
"03/01/2020 22:30 - 03/01/2020 22:45","BZN|NL","12811.63","10565.69"
"03/01/2020 22:45 - 03/01/2020 23:00","BZN|NL","12675.24","10373.64"
"03/01/2020 23:00 - 03/01/2020 23:15","BZN|NL","12586.25","10251.13"
"03/01/2020 23:15 - 03/01/2020 23:30","BZN|NL","12440.39","10195.16"
"03/01/2020 23:30 - 03/01/2020 23:45","BZN|NL","12281.60","10042.36"
"03/01/2020 23:45 - 04/01/2020 00:00","BZN|NL","12099.97","9889.35"
"04/01/2020 00:00 - 04/01/2020 00:15","BZN|NL","12051.12","9823.49"
"04/01/2020 00:15 - 04/01/2020 00:30","BZN|NL","11900.55","9861.68"
"04/01/2020 00:30 - 04/01/2020 00:45","BZN|NL","11788.27","9829.29"
"04/01/2020 00:45 - 04/01/2020 01:00","BZN|NL","11693.94","9691.00"
"04/01/2020 01:00 - 04/01/2020 01:15","BZN|NL","11610.33","9587.48"
"04/01/2020 01:15 - 04/01/2020 01:30","BZN|NL","11485.83","9513.26"
"04/01/2020 01:30 - 04/01/2020 01:45","BZN|NL","11313.38","9436.46"
"04/01/2020 01:45 - 04/01/2020 02:00","BZN|NL","11210.09","9342.10"
"04/01/2020 02:00 - 04/01/2020 02:15","BZN|NL","11154.03","9280.68"
"04/01/2020 02:15 - 04/01/2020 02:30","BZN|NL","11070.93","9254.94"
"04/01/2020 02:30 - 04/01/2020 02:45","BZN|NL","11011.09","9222.96"
"04/01/2020 02:45 - 04/01/2020 03:00","BZN|NL","10993.53","9171.88"
"04/01/2020 03:00 - 04/01/2020 03:15","BZN|NL","10965.85","9168.19"
"04/01/2020 03:15 - 04/01/2020 03:30","BZN|NL","10955.55","9188.23"
"04/01/2020 03:30 - 04/01/2020 03:45","BZN|NL","10897.21","9185.04"
"04/01/2020 03:45 - 04/01/2020 04:00","BZN|NL","10853.02","9175.09"
"04/01/2020 04:00 - 04/01/2020 04:15","BZN|NL","10829.05","9162.77"
"04/01/2020 04:15 - 04/01/2020 04:30","BZN|NL","10813.67","9152.67"
"04/01/2020 04:30 - 04/01/2020 04:45","BZN|NL","10827.30","9131.37"
"04/01/2020 04:45 - 04/01/2020 05:00","BZN|NL","10834.83","9145.00"
"04/01/2020 05:00 - 04/01/2020 05:15","BZN|NL","10898.15","9172.30"
"04/01/2020 05:15 - 04/01/2020 05:30","BZN|NL","10950.08","9223.67"
"04/01/2020 05:30 - 04/01/2020 05:45","BZN|NL","11030.63","9267.51"
"04/01/2020 05:45 - 04/01/2020 06:00","BZN|NL","11104.87","9319.20"
"04/01/2020 06:00 - 04/01/2020 06:15","BZN|NL","11271.80","9393.05"
"04/01/2020 06:15 - 04/01/2020 06:30","BZN|NL","11368.55","9514.41"
"04/01/2020 06:30 - 04/01/2020 06:45","BZN|NL","11536.50","9632.78"
"04/01/2020 06:45 - 04/01/2020 07:00","BZN|NL","11684.86","9764.57"
"04/01/2020 07:00 - 04/01/2020 07:15","BZN|NL","11922.95","9886.70"
"04/01/2020 07:15 - 04/01/2020 07:30","BZN|NL","12094.08","10043.87"
"04/01/2020 07:30 - 04/01/2020 07:45","BZN|NL","12238.81","10213.50"
"04/01/2020 07:45 - 04/01/2020 08:00","BZN|NL","12432.46","10370.64"
"04/01/2020 08:00 - 04/01/2020 08:15","BZN|NL","12667.33","10580.22"
"04/01/2020 08:15 - 04/01/2020 08:30","BZN|NL","12926.18","10775.08"
"04/01/2020 08:30 - 04/01/2020 08:45","BZN|NL","13085.58","10943.12"
