"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2021 16:00 - 01/01/2021 16:15","BZN|NL","12712.79","15383.23"
"01/01/2021 16:15 - 01/01/2021 16:30","BZN|NL","12888.52","15472.40"
"01/01/2021 16:30 - 01/01/2021 16:45","BZN|NL","13111.32","15649.46"
"01/01/2021 16:45 - 01/01/2021 17:00","BZN|NL","13512.13","15912.07"
"01/01/2021 17:00 - 01/01/2021 17:15","BZN|NL","13841.32","16105.86"
"01/01/2021 17:15 - 01/01/2021 17:30","BZN|NL","14117.90","16224.78"
"01/01/2021 17:30 - 01/01/2021 17:45","BZN|NL","14299.71","16320.21"
"01/01/2021 17:45 - 01/01/2021 18:00","BZN|NL","14292.97","16255.24"
"01/01/2021 18:00 - 01/01/2021 18:15","BZN|NL","14029.06","15901.09"
"01/01/2021 18:15 - 01/01/2021 18:30","BZN|NL","13904.91","15559.84"
"01/01/2021 18:30 - 01/01/2021 18:45","BZN|NL","13768.50","15432.85"
"01/01/2021 18:45 - 01/01/2021 19:00","BZN|NL","13655.55","15278.45"
"01/01/2021 19:00 - 01/01/2021 19:15","BZN|NL","13554.19","15107.92"
"01/01/2021 19:15 - 01/01/2021 19:30","BZN|NL","13434.87","14933.21"
"01/01/2021 19:30 - 01/01/2021 19:45","BZN|NL","13325.09","14780.91"
"01/01/2021 19:45 - 01/01/2021 20:00","BZN|NL","13276.42","14660.87"
"01/01/2021 20:00 - 01/01/2021 20:15","BZN|NL","13121.20","14511.89"
"01/01/2021 20:15 - 01/01/2021 20:30","BZN|NL","13030.33","14361.58"
"01/01/2021 20:30 - 01/01/2021 20:45","BZN|NL","12778.11","14219.43"
"01/01/2021 20:45 - 01/01/2021 21:00","BZN|NL","12619.46","14056.44"
"01/01/2021 21:00 - 01/01/2021 21:15","BZN|NL","12464.65","13867.37"
"01/01/2021 21:15 - 01/01/2021 21:30","BZN|NL","12361.59","13734.47"
"01/01/2021 21:30 - 01/01/2021 21:45","BZN|NL","12255.28","13606.54"
"01/01/2021 21:45 - 01/01/2021 22:00","BZN|NL","12147.07","13484.33"
"01/01/2021 22:00 - 01/01/2021 22:15","BZN|NL","12002.69","13324.00"
"01/01/2021 22:15 - 01/01/2021 22:30","BZN|NL","11889.54","13206.57"
"01/01/2021 22:30 - 01/01/2021 22:45","BZN|NL","11668.56","13057.28"
"01/01/2021 22:45 - 01/01/2021 23:00","BZN|NL","11557.58","12892.45"
"01/01/2021 23:00 - 01/01/2021 23:15","BZN|NL","11476.17","12793.18"
"01/01/2021 23:15 - 01/01/2021 23:30","BZN|NL","11348.01","12713.73"
"01/01/2021 23:30 - 01/01/2021 23:45","BZN|NL","11121.51","12557.66"
"01/01/2021 23:45 - 02/01/2021 00:00","BZN|NL","10973.35","12369.02"
"02/01/2021 00:00 - 02/01/2021 00:15","BZN|NL","10945.82","12613.52"
"02/01/2021 00:15 - 02/01/2021 00:30","BZN|NL","10888.14","12633.24"
"02/01/2021 00:30 - 02/01/2021 00:45","BZN|NL","10809.75","12580.58"
"02/01/2021 00:45 - 02/01/2021 01:00","BZN|NL","10677.17","12491.73"
"02/01/2021 01:00 - 02/01/2021 01:15","BZN|NL","10611.74","12385.60"
"02/01/2021 01:15 - 02/01/2021 01:30","BZN|NL","10573.97","12285.23"
"02/01/2021 01:30 - 02/01/2021 01:45","BZN|NL","10498.68","12172.85"
"02/01/2021 01:45 - 02/01/2021 02:00","BZN|NL","10404.65","12045.22"
"02/01/2021 02:00 - 02/01/2021 02:15","BZN|NL","10340.07","11938.69"
"02/01/2021 02:15 - 02/01/2021 02:30","BZN|NL","10287.17","11865.12"
"02/01/2021 02:30 - 02/01/2021 02:45","BZN|NL","10222.77","11802.28"
"02/01/2021 02:45 - 02/01/2021 03:00","BZN|NL","10206.96","11755.40"
"02/01/2021 03:00 - 02/01/2021 03:15","BZN|NL","10181.94","11717.13"
"02/01/2021 03:15 - 02/01/2021 03:30","BZN|NL","10190.29","11690.99"
"02/01/2021 03:30 - 02/01/2021 03:45","BZN|NL","10139.99","11656.46"
"02/01/2021 03:45 - 02/01/2021 04:00","BZN|NL","10144.13","11618.27"
"02/01/2021 04:00 - 02/01/2021 04:15","BZN|NL","10172.68","11595.61"
"02/01/2021 04:15 - 02/01/2021 04:30","BZN|NL","10185.05","11598.52"
"02/01/2021 04:30 - 02/01/2021 04:45","BZN|NL","10212.47","11572.96"
"02/01/2021 04:45 - 02/01/2021 05:00","BZN|NL","10229.83","11571.57"
"02/01/2021 05:00 - 02/01/2021 05:15","BZN|NL","10357.36","11574.04"
"02/01/2021 05:15 - 02/01/2021 05:30","BZN|NL","10397.67","11609.14"
"02/01/2021 05:30 - 02/01/2021 05:45","BZN|NL","10433.99","11669.61"
"02/01/2021 05:45 - 02/01/2021 06:00","BZN|NL","10503.10","11713.75"
"02/01/2021 06:00 - 02/01/2021 06:15","BZN|NL","10683.19","11794.19"
