event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2020-01-04 00:00:00,NL,5.292572,6.3017545,-0.5560891,102380.52
2020-01-04 01:00:00,NL,5.331787,6.458663,-0.3740599,102407.18
2020-01-04 02:00:00,NL,5.4260254,6.678752,-0.14461792,102405.14
2020-01-04 03:00:00,NL,5.3466187,6.9137707,-0.022489626,102403.91
2020-01-04 04:00:00,NL,5.487274,7.3686047,-0.06878497,102404.94
2020-01-04 05:00:00,NL,5.5298767,7.5807037,0.071773514,102391.555
2020-01-04 06:00:00,NL,5.6460266,7.8096123,-0.15351278,102398.98
2020-01-04 07:00:00,NL,5.7686768,7.895911,-0.33368504,102413.086
2020-01-04 08:00:00,NL,6.0509644,8.045588,-0.26976594,102422.195
2020-01-04 09:00:00,NL,6.386261,8.267998,-0.3821509,102415.62
2020-01-04 10:00:00,NL,6.765686,8.528075,-1.3831812,102473.54
2020-01-04 11:00:00,NL,7.1780396,8.399251,-2.1713648,102480.21
2020-01-04 12:00:00,NL,7.480194,7.9376817,-2.9568894,102486.68
2020-01-04 13:00:00,NL,7.6145935,7.0995317,-3.2016451,102502.8
2020-01-04 14:00:00,NL,7.646057,6.2025843,-3.2621424,102528.92
2020-01-04 15:00:00,NL,7.5315247,5.368857,-3.2218735,102591.78
2020-01-04 16:00:00,NL,7.3348083,4.8975453,-3.0017798,102652.33
2020-01-04 17:00:00,NL,7.15802,4.7213593,-2.5047646,102725.305
2020-01-04 18:00:00,NL,7.0115967,4.508468,-2.1970174,102774.445
2020-01-04 19:00:00,NL,6.8562317,4.0633445,-1.9604808,102851.734
2020-01-04 20:00:00,NL,6.6739197,3.7354279,-1.5931267,102893.63
2020-01-04 21:00:00,NL,6.5246887,3.6083632,-1.2282392,102933.81
2020-01-04 22:00:00,NL,6.3407593,3.6545973,-0.63267744,102983.04
2020-01-04 23:00:00,NL,6.3684998,3.6081886,-0.3584339,103008.98
2020-01-05 00:00:00,NL,6.2592163,3.3272326,0.03847997,103015.48
2020-01-05 01:00:00,NL,6.235779,3.1194086,0.5252046,103025.375
2020-01-05 02:00:00,NL,6.1829834,2.9664705,0.9880977,103056.516
2020-01-05 03:00:00,NL,6.249359,3.0373237,1.4642279,103061.9
2020-01-05 04:00:00,NL,6.3211365,3.0356238,1.8840691,103071.3
2020-01-05 05:00:00,NL,6.321167,3.257938,2.2761927,103034.8
2020-01-05 06:00:00,NL,6.344391,3.4741669,2.5117395,103042.45
2020-01-05 07:00:00,NL,6.322876,3.5459442,2.7349877,103027.38
2020-01-05 08:00:00,NL,6.308777,3.5518236,2.9286845,103056.44
