event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2021-01-01 00:00:00,NL,2.9966125,2.2115874,-1.5038025,100231.15
2021-01-01 01:00:00,NL,2.9082031,2.2151365,-1.3677261,100237.87
2021-01-01 02:00:00,NL,2.980713,2.241776,-1.2450376,100267.11
2021-01-01 03:00:00,NL,2.8268433,2.2683449,-1.1829486,100295.76
2021-01-01 04:00:00,NL,2.8153992,2.2103138,-1.1554048,100294.21
2021-01-01 05:00:00,NL,2.840271,2.1500623,-1.1069363,100301.92
2021-01-01 06:00:00,NL,2.8773804,2.038108,-1.0216086,100333.125
2021-01-01 07:00:00,NL,2.8573914,2.025275,-0.7730489,100368.89
2021-01-01 08:00:00,NL,2.917511,2.1006212,-0.5504522,100423.27
2021-01-01 09:00:00,NL,3.2269287,2.3365917,-0.35775176,100463.984
2021-01-01 10:00:00,NL,3.8997498,2.6330853,-0.072459936,100514.12
2021-01-01 11:00:00,NL,4.5447083,2.9131358,-0.04881644,100524.055
2021-01-01 12:00:00,NL,5.056183,3.074838,-0.20905066,100512.055
2021-01-01 13:00:00,NL,5.258606,3.2256114,-0.2934114,100509.39
2021-01-01 14:00:00,NL,5.2918396,3.045293,-0.25727803,100525.945
2021-01-01 15:00:00,NL,4.9981384,2.7753048,-0.054754335,100550.49
2021-01-01 16:00:00,NL,4.5904846,2.7263775,0.2874802,100584.016
2021-01-01 17:00:00,NL,4.3929443,2.852666,0.46948722,100613.9
2021-01-01 18:00:00,NL,4.2766113,2.8938951,0.44049662,100629.47
2021-01-01 19:00:00,NL,4.201172,2.8687322,0.29519087,100669.414
2021-01-01 20:00:00,NL,4.167938,2.751981,0.13914104,100712.51
2021-01-01 21:00:00,NL,4.083893,2.5255325,0.047731772,100752.39
2021-01-01 22:00:00,NL,4.096527,2.584524,0.11991965,100775.37
2021-01-01 23:00:00,NL,4.0467224,2.5430999,-0.04476825,100798.06
2021-01-02 00:00:00,NL,4.015564,2.4057806,-0.25704154,100833.234
2021-01-02 01:00:00,NL,3.951538,2.1349366,-0.27852434,100845.87
2021-01-02 02:00:00,NL,3.860077,1.9623533,-0.23006995,100870.695
2021-01-02 03:00:00,NL,3.829193,1.8511888,-0.17699967,100876.164
2021-01-02 04:00:00,NL,3.800415,1.7255238,-0.12349705,100880.95
2021-01-02 05:00:00,NL,3.7764282,1.7354964,-0.029229902,100888.23
2021-01-02 06:00:00,NL,3.7321167,1.7272371,-0.082421556,100913.6
2021-01-02 07:00:00,NL,3.7176208,1.6630305,-0.14830555,100933.08
2021-01-02 08:00:00,NL,3.6558838,1.5642723,-0.1695904,100976.59
2021-01-02 09:00:00,NL,3.7012024,1.3872901,-0.013978293,101019.42
2021-01-02 10:00:00,NL,4.0967407,0.64143777,0.100722924,101065.445
2021-01-02 11:00:00,NL,4.4394836,0.70464444,0.46471888,101055.805
2021-01-02 12:00:00,NL,4.630493,0.87094986,0.6272485,101018.78
2021-01-02 13:00:00,NL,4.763153,0.985133,0.40786365,101004.33
2021-01-02 14:00:00,NL,4.801758,0.84393877,0.18128654,101022.97
2021-01-02 15:00:00,NL,4.6562805,0.4814483,-0.12040907,101034.28
2021-01-02 16:00:00,NL,4.3893127,0.028969968,-0.28476527,101066.06
2021-01-02 17:00:00,NL,4.2295227,-0.36741492,-0.2013499,101092.55
2021-01-02 18:00:00,NL,4.1252747,-0.66194576,-0.17917266,101124.4
2021-01-02 19:00:00,NL,3.980774,-1.0169849,-0.2262165,101138.21
2021-01-02 20:00:00,NL,3.8897705,-1.3065357,-0.31401372,101182.33
2021-01-02 21:00:00,NL,3.758484,-1.5690631,-0.44940713,101166.17
2021-01-02 22:00:00,NL,3.782135,-1.5312299,-0.5631917,101194.16
2021-01-02 23:00:00,NL,3.6267395,-1.9184518,-0.77083427,101196.63
2021-01-03 00:00:00,NL,3.6151123,-2.052328,-0.95414877,101217.06
2021-01-03 01:00:00,NL,3.5725098,-2.2172391,-1.1242857,101206.32
2021-01-03 02:00:00,NL,3.4562683,-2.3870847,-1.3209174,101232.56
2021-01-03 03:00:00,NL,3.38266,-2.5823472,-1.498716,101229.234
2021-01-03 04:00:00,NL,3.283783,-2.8310103,-1.5535996,101207.45
2021-01-03 05:00:00,NL,3.2434998,-3.0850294,-1.515139,101221.88
2021-01-03 06:00:00,NL,3.2504272,-3.271185,-1.4417462,101248.98
2021-01-03 07:00:00,NL,3.2572937,-3.492938,-1.4077605,101289.87
2021-01-03 08:00:00,NL,3.2856445,-3.6191645,-1.4182558,101323.04
2021-01-03 09:00:00,NL,3.397705,-3.8103073,-1.651584,101368.234
2021-01-03 10:00:00,NL,3.6596375,-3.8112693,-1.5809131,101422.445
2021-01-03 11:00:00,NL,3.8620605,-4.2233157,-2.2709434,101401.125
2021-01-03 12:00:00,NL,4.0043945,-4.614311,-2.9357042,101411.55
2021-01-03 13:00:00,NL,4.050476,-4.735828,-3.5310316,101382.23
2021-01-03 14:00:00,NL,4.013397,-4.8910694,-3.9056635,101401.68
2021-01-03 15:00:00,NL,3.8993225,-5.0218716,-4.024482,101403.72
2021-01-03 16:00:00,NL,3.7601929,-5.0148087,-4.0438333,101406.01
2021-01-03 17:00:00,NL,3.667572,-5.0081625,-4.1058683,101430.57
2021-01-03 18:00:00,NL,3.6107178,-5.051153,-4.2325463,101447.3
2021-01-03 19:00:00,NL,3.6221313,-5.1176825,-4.297545,101467.58
2021-01-03 20:00:00,NL,3.619629,-5.288879,-4.335658,101484.65
2021-01-03 21:00:00,NL,3.6680298,-5.6110253,-4.3246107,101479.42
2021-01-03 22:00:00,NL,3.6332092,-5.542609,-4.343942,101472.016
2021-01-03 23:00:00,NL,3.6065674,-5.622383,-4.364056,101459.91
2021-01-04 00:00:00,NL,3.6029358,-5.7757745,-4.4039154,101442.17
2021-01-04 01:00:00,NL,3.5548096,-6.0321913,-4.362245,101432.234
2021-01-04 02:00:00,NL,3.481018,-6.26746,-4.279938,101440.05
2021-01-04 03:00:00,NL,3.4305725,-6.4351735,-4.142325,101435.63
2021-01-04 04:00:00,NL,3.397583,-6.5850015,-4.089252,101436.81
2021-01-04 05:00:00,NL,3.3354492,-6.7051244,-4.0419126,101445.22
2021-01-04 06:00:00,NL,3.2903137,-6.7933083,-4.0266795,101463.086
2021-01-04 07:00:00,NL,3.2569275,-6.8118944,-4.009393,101508.25
2021-01-04 08:00:00,NL,3.2244873,-6.780692,-4.0342565,101538.72
2021-01-04 09:00:00,NL,3.251831,-6.760425,-4.142529,101582.984
2021-01-04 10:00:00,NL,3.2709656,-6.371836,-4.2393856,101603.24
2021-01-04 11:00:00,NL,3.2833862,-6.327995,-4.5005116,101585.21
2021-01-04 12:00:00,NL,3.2731323,-6.153316,-4.6732206,101554.164
2021-01-04 13:00:00,NL,3.2519226,-5.9483395,-4.8624463,101518.97
2021-01-04 14:00:00,NL,3.2487488,-5.642991,-4.8924546,101490.734
2021-01-04 15:00:00,NL,3.1961365,-5.4372025,-4.7947397,101502.11
2021-01-04 16:00:00,NL,3.139801,-5.3358445,-4.763307,101502.75
2021-01-04 17:00:00,NL,3.098755,-5.4117117,-4.696232,101507.51
2021-01-04 18:00:00,NL,3.0822449,-5.497929,-4.5837955,101526.68
2021-01-04 19:00:00,NL,3.0849915,-5.558349,-4.458483,101533.76
2021-01-04 20:00:00,NL,3.0196533,-5.554408,-4.3279467,101540.1
2021-01-04 21:00:00,NL,2.9782104,-5.4719925,-4.1915593,101519.42
2021-01-04 22:00:00,NL,2.8552856,-5.2463417,-4.136149,101505.51
2021-01-04 23:00:00,NL,2.8486633,-5.26771,-4.2419877,101485.125
2021-01-05 00:00:00,NL,2.867218,-5.3636265,-4.275386,101467.11
2021-01-05 01:00:00,NL,2.88797,-5.4594374,-4.146946,101473.54
2021-01-05 02:00:00,NL,2.9274292,-5.3967566,-4.0736823,101480.695
2021-01-05 03:00:00,NL,2.9175415,-5.3876247,-3.9141746,101454.9
2021-01-05 04:00:00,NL,2.9528198,-5.476074,-3.7908673,101440.33
2021-01-05 05:00:00,NL,2.9795532,-5.663338,-3.589225,101452.62
